	Unnamed: 0	id	question	equation
35	35	3612	3 개의 수 1, 10, 14 로 나누어 떨어질 수 있는 세 자리 수는 모두 몇 개 있습니까?	len ( [ arr for arr in range(100, 1000) if arr % 1 == 0 and arr % 10 == 0 and arr % 14 == 0] )
36	36	893	서로 다른 두 자연수 A , B가 있습니다. A + B = 21, B = 3 * A 일 때, A 를 구하시오.	21 / ( 1 + 3 )
37	37	1572	991에 어떤 수를 빼야 할 것을 잘못하여 517에 어떤 수를 곱했더니 40326이 되었습니다. 바르게 계산하면 얼마인지 구하시오.	991 - ( 40326 / 517 ) 
39	39	262	선거에서 3명의 후보자가 각각 1000, 2000 및 4000표를 받았습니다. 당선 된 후보는 총 투표에서 몇%를 얻었습니까?	4000 / ( 1000 + 2000 + 4000 ) * 100
40	40	2375	566 보다 어떤 수만큼 작은 수는 905입니다. 어떤 수보다 514 작은 수는 얼마입니까?	905 - 566 - 514
41	41	753	어떤 소수의 소수점을 왼쪽으로 2 자리 옮기면 원래보다 18.76 만큼 작아집니다. 원래의 소수를 구하시오.	18.76 * 100 / 99
42	42	922	원기둥의 밑면 지름이 4cm 일며 높이가 3일때 원기둥의 부피를 반올림 했을 때 몇 cm^3 입니까?	round( ( 4 / 2 ) * math.pi * 3 )
43	43	687	은지는 1000원을 받고 실수로 원래 거스름 돈의 3배를 받아  600원을 거슬러 받았다. 은지가 원래 사려던 물건은 몇 원인가? 	1000 - ( 600 / 3 )
44	44	1496	294에 어떤 수를 더해야 할 것을 잘못하여 490에 어떤 수를 곱했더니 36750이 되었습니다. 바르게 계산하면 얼마인지 구하시오.	294 + ( 36750 / 490 ) 
45	45	155	아케이드에서 윤기는 25개의 티켓을 획득했습니다. 그가 22개의 티켓을 쓰고 나중에 15개의 티켓을 얻었다. 그는 몇 개의 티켓을 가지고 있습니까?	"X=25+15-22
print(X)"
46	46	878	서로 다른 두 자연수 A , B가 있습니다. A + B = 85, B = 5 * A 일 때, A 를 구하시오.	85 / ( 1 + 5 )
47	47	176	은지는 42개의 컵케이크를 만들었습니다. 그녀가 22개를 팔았고 39개를 더 만들었다면 총 몇 개의 컵케이크가 있습니까?	"X=42+39-22
print(X)"
48	48	475	점심시간에 종업원은 7명의 손님에 대해 서비스를 하였지만 그들 중 4명이 팁을 남기지 않았습니다. 그가 팁을 준 손님들로부터 각 9원을 얻은 경우, 그는 몇 원을 벌었습니까?	"X=9*(7-4)
print(X)"
49	49	1010	민영이는 농구에서 게임 당 12점씩 얻었습니다. 5경기를 뛰었다면 민영이는 총 몇 점을 얻었습니까?	"X=12*5
print(X)"
50	50	693	두 개의 양의 정수 A와 B가 있습니다. A+B가 홀수 일 확률은 얼마입니까 /	2 / 4 * 100
51	51	102	상자 안에 77개의 공이 있습니다. 민영이가 50개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?	77 + 50
52	52	4321	키가 작은 사람부터 순서대로 47명이 한 줄로 서 있습니다. 은지가 앞에서부터 23번째에 서 있습니다. 키가 큰 사람부터 순서대로 다시 줄을 서면 은지는 앞에서부터 몇 번째에 서게 됩니까?	47 - 23 + 1
54	54	4643	3개의 숫자 1, 5, 7를 한 번씩만 사용하여 세 자리수를 만들려고 합니다. 만들 수 있는 세 자리 수는 모두 몇 개입니까?	math.factorial(3)
55	55	495	1개의 수 81가 있습니다. 그 중에서 가장 큰 수와 가장 작은 수의 차는 얼마입니까?	max ( [ 81 ] ) - min ( [ 81 ] ) 
56	56	607	30에 어떤 수를 더하면 45가 됩니다. 영희는 어떤 수에 10을 더해야 하는데 10을 뺐습니다. 영희가 얻은 수는 얼마인가요?	45 - 30 - 10
57	57	3782	윤기 , 호석 , 지민의 수학 점수는 각각 11점, 93점, 2점입니다. 이 셋을 제외한 학급의 수학 점수 평균은 20점입니다. 지민네 학급 인원수가 8명일 때, 학급 수학 평균 점수는 몇 점입니까	( ( 8 - 3 ) * 20 + 11 + 93 + 2 ) / 8
58	58	3533	3 개의 수 3, 15, 2 로 나누어 떨어질 수 있는 두 자리 수는 모두 몇 개 있습니까?	len ( [ arr for arr in range(10, 100) if arr % 3 == 0 and arr % 15 == 0 and arr % 2 == 0] )
59	59	2365	420 보다 어떤 수만큼 큰 수는 855입니다. 어떤 수보다 933 작은 수는 얼마입니까?	855 - 420 - 933
60	60	878	정국이는 34개의 사탕을 가지고 있습니다. 민영이는 사탕 28개를 가지고 있습니다. 정국이와 민영이가 가지고 있는 사탕은 총 몇 개입니까?	"X=34+28
print(X)"
61	61	846	민영이는 시간당 4km로 5km를 걸었습니다. 민영이는 얼마나 오래 걸었습니까?	"X=5/4
print(X)"
62	62	1458	721에 어떤 수를 빼야 할 것을 잘못하여 109에 어떤 수를 곱했더니 5014이 되었습니다. 바르게 계산하면 얼마인지 구하시오.	721 - ( 5014 / 109 ) 
63	63	2307	433 보다 어떤 수만큼 큰 수는 860입니다. 어떤 수보다 281 작은 수는 얼마입니까?	860 - 433 - 281
64	64	3090	(나) 컵에 물을 가득 넣어 (마) 컵에 부었더니 물이 넘쳤습니다. 어느 컵에 물이 더 많이 들어갈까요?	print('(나)')
65	65	4626	5개의 숫자 1, 2, 6, 8, 9를 한 번씩만 사용하여 다섯 자리수를 만들려고 합니다. 만들 수 있는 다섯 자리 수는 모두 몇 개입니까?	math.factorial(5)
66	66	892	가게 주인이 5% 할인 된 물건을 팔아 21.6%의 수익을 올렸다. 할인이 제공되지 않았다면 얻은 수익의 비율은 얼마 였을까요?	 ( 100 + 21.6 ) * 100 / ( 100 - 5 ) - 100
67	67	1726	호석이는 5와 5를 모았습니다. 석진이는 4과 2을 모았습니다. 누가 모은 수가 더 큽니까?	'호석' if 5+5 > 4+2 else '석진'
68	68	3027	태형와 동생의 나이를 합하면 37이고, 두 사람의 나이 차는 25입니다. 태형의 동생은 몇 살일까요?	( 37 - 25 ) / 2
69	69	745	교실에 7명의 학생과 42개의 사과가 있습니다. 학생들이 사과를 똑같이 나눠가지려면 한 사람당 몇 개의 사과를 가져가야 합니까?	"X=42/7
print(X)"
70	70	276	은지는 그녀의 책을 세고 있었습니다. 각 선반이 정확히 8권의 책을 가지고 있는지 확인했다. 그녀가 수수께끼 책의 5개의 선반과 그림책의 4개의 선반을 가지고 있다면, 몇 권의 책을 가지고 있었습니까?	"X=8*(5+4)
print(X)"
71	71	195	정국이에게는 25권의 책이 있었습니다. 그가 21권을 팔고 30 권의 새로운 책을 구입했다면, 정국이가 가지고 있는 책은 몇 권입니까?	"X=25+30-21
print(X)"
72	72	1090	어떤 수에서 839을 빼야 하는데 잘못하여 340을 뺀 결과가 58이 나왔습니다. 바르게 계산한 결과를 구하시오.	58 + 340 - 839
73	73	2597	45에서 257까지의 수가 있을 때, 57보다 크고, 59보다 작은 수는 얼마입니까?	( 57 + 59 ) / 2
74	74	29	연필 한 다스는 12자루이다. 연필 다섯 다스는 몇 자루인지 구하시오.	12 * 5
75	75	732	각 상자에는 6개의 구슬이 있습니다. 얼마나 많은 구슬이 3개의 상자에 있습니까?	"X=6*3
print(X)"
76	76	2066	한 상자에는 귤이 130개씩 들어있습니다. 138개의 상자 안에 있는 귤은 모두 몇 개일까요?	130 * 138
77	77	618	어떤 소수의 소수점을 왼쪽으로 4 자리 옮기면 원래보다 54.41 만큼 작아집니다. 원래의 소수를 구하시오.	54.41 * 10000 / 9999
78	78	4572	2개의 숫자 5, 6를 한 번씩만 사용하여 두 자리수를 만들려고 합니다. 만들 수 있는 두 자리 수는 모두 몇 개입니까?	math.factorial(2)
79	79	3831	남진 , 지민 , 정국의 수학 점수는 각각 70점, 97점, 60점입니다. 이 셋을 제외한 학급의 수학 점수 평균은 67점입니다. 남진네 학급 인원수가 46명일 때, 학급 수학 평균 점수는 몇 점입니까	( ( 46 - 3 ) * 67 + 70 + 97 + 60 ) / 46
81	81	803	다음의 방정식에서 X 값을 구하시오. X/2=-2	 ( 2 - 4 ) * 2
82	82	900	숫자를 6으로 나눈 다음 12를 곱하면 11이 될 때, 주어진 숫자의 값은 몇인가요?	11 / 12 * 6
83	83	347	(가), (나), (다) 세 지역을 3가지 색깔을 이용하여 겹치지 않게 칠할 때, 칠할 수 있는 방법의 수는?	print ( math.factorial ( 3 ) )
84	84	839	서로 다른 두 자연수 A , B가 있습니다. A - B = --36, B = 5 * A 일 때, A 를 구하시오.	9
85	85	362	지민이는 8원을 저축했습니다. 그가 수당에 대해 7원을 받았다면, 그는 3원의 장난감을 몇 개 살 수 있습니까?	"X=(8+7)/3
print(X)"
86	86	966	석진이는 축구 경기에서 42점을 득점했습니다. 윤기는 21점을 득점했습니다. 석진이가 몇 점을 더 많이 득점했습니까?	"X=42-21
print(X)"
87	87	4215	달리기 시합에서 정국는 8 등을 했고, 석진는 10 등을 했습니다. 민영는 석진보다 잘했지만 정국보다는 못했습니다. 민영의 등수는 몇 등입니까?	 ( 8 + 10 ) / 2
88	88	1864	9개의 수 1.73, 67.75, 3.49, 58.88, 91.04, 65.77, 14.0, 77.34, 79.78이 있습니다. 이 중에서 54.39보다 작은 수는 모두 몇 개 입니까?	len ( [ val for val in [ 1.73, 67.75, 3.49, 58.88, 91.04, 65.77, 14.0, 77.34, 79.78 ] if val < 54.39 ] ) 
89	89	1397	어떤 수에서 438을 빼더니 88가 되었습니다. 어떤 수에서 665를 곱하면 얼마가 되는지 구하시오.	88 + 438 * 665
90	90	1396	어떤 수에서 5을 나누었더니 459가 되었습니다. 어떤 수에서 625를 더하면 얼마가 되는지 구하시오.	459 * 5 + 625
91	91	117	어떤 물건을 100원에 사서 180원에 팔았다면 수익률은?	print ( ( 180 - 100 ) / 100 )
92	92	4262	키가 작은 사람부터 순서대로 26명이 한 줄로 서 있습니다. 남진가 앞에서부터 24번째에 서 있습니다. 키가 큰 사람부터 순서대로 다시 줄을 서면 남진는 앞에서부터 몇 번째에 서게 됩니까?	26 - 24 + 1
93	93	4430	키가 작은 사람부터 순서대로 74명이 한 줄로 서 있습니다. 태형가 앞에서부터 27번째에 서 있습니다. 키가 큰 사람부터 순서대로 다시 줄을 서면 태형는 앞에서부터 몇 번째에 서게 됩니까?	74 - 27 + 1
94	94	2031	4개의 수 45.05, 40.27, 99.55, 51.72이 있습니다. 이 중에서 17.43보다 큰 수는 모두 몇 개 입니까?	len ( [ val for val in [ 45.05, 40.27, 99.55, 51.72 ] if val > 17.43 ] ) 
95	95	149	흰 차, 빨간 차, 검은 차, 노란 차가 신호를 기다리고 있다. 검은 차가 다른 길로 가기 위해 줄에서 빠졌다면 노란 차는 몇 번째에 서 있는가?	3
96	96	3652	3 개의 수 11, 7, 7 로 나누어 떨어질 수 있는 세 자리 수는 모두 몇 개 있습니까?	len ( [ arr for arr in range(100, 1000) if arr % 11 == 0 and arr % 7 == 0 and arr % 7 == 0] )
97	97	2903	남진와 동생의 나이를 합하면 47이고, 두 사람의 나이 차는 24입니다. 남진의 동생은 몇 살일까요?	( 47 - 24 ) / 2
98	98	329	1에서 30까지의 숫자가 각각 적힌 카드가 있다. 이 카드에서 임의로 한 장을 뽑을 때, 3의 배수가 되지 않을 경우의 수는?	print( 30 - ( 30 // 3 ) )
99	99	428	어떤 소수에 3을 더한 값은 원래의 소수에 2를 곱한 값보다 0.5만큼 큽니다. 원래의 소수를 구하시오.	( 3 - 0.5 ) / ( 2 - 1 ) 
100	100	1497	어떤 숫자의 7배와 4배를 더하면 55가 됩니다. 숫자는 무엇입니까?	"X=55/(7+4)
print(X)"
101	101	4086	달리기 시합에서 석진는 62 등을 했고, 윤기는 64 등을 했습니다. 남진는 윤기보다 잘했지만 석진보다는 못했습니다. 남진의 등수는 몇 등입니까?	 ( 62 + 64 ) / 2
102	102	890	도서관에 54권의 책이 있습니다. 도서관은 책 23권을 추가로 더 구입합니다. 도서관에 있는 책은 몇 권입니까?	"X=54+23
print(X)"
103	103	870	만약 20명이 6 일 동안 112 미터 길이의 벽을 지을 수 있다면, 40명이 3 일 동안 비슷한 벽을 몇개 지을 수 있습니까?	112 * 40 * 3 / ( 20 * 6 ) 
104	104	1702	유나이는 7와 5를 모았습니다. 유정이는 6과 5을 모았습니다. 누가 모은 수가 더 큽니까?	'유나' if 7+5 > 6+5 else '유정'
105	105	1374	어떤 수에서 189을 더했더니 419가 되었습니다. 어떤 수에서 594를 더하면 얼마가 되는지 구하시오.	419 - 189 + 594
106	106	3350	2 개의 수 5, 9 로 나누어 떨어질 수 있는 세 자리 수는 모두 몇 개 있습니까?	len ( [ arr for arr in range(100, 1000) if arr % 5 == 0 and arr % 9 == 0 ] )
107	107	1321	어떤 수에서 781을 나누었더니 491가 되었습니다. 어떤 수에서 830를 빼면 얼마가 되는지 구하시오.	491 * 781 - 830
108	108	326	학교의 야구 팀에는 4명의 새로운 선수와 6명의 돌아온 선수가 있었습니다. 코치가 각 그룹에 5명의 선수가 있도록 하면 몇 개의 그룹이 생깁니까?	"X=(4+6)/5
print(X)"
109	109	3725	지민 , 은지 , 석진의 수학 점수는 각각 36점, 25점, 50점입니다. 이 셋을 제외한 학급의 수학 점수 평균은 63점입니다. 은지네 학급 인원수가 14명일 때, 학급 수학 평균 점수는 몇 점입니까	( ( 14 - 3 ) * 63 + 36 + 25 + 50 ) / 14
111	111	3155	(가) 컵에 물을 가득 넣어 (라) 컵에 부었더니 물이 넘쳤습니다. 어느 컵에 물이 더 많이 들어갈까요?	print('(가)')
112	112	1186	어떤 수에서 868을 더해야 하는데 잘못하여 49을 더한 결과가 756이 나왔습니다. 바르게 계산한 결과를 구하시오.	756 - 49 + 868
113	113	1868	8개의 수 23.27, 29.64, 55.39, 41.09, 35.06, 1.22, 34.07, 92.6이 있습니다. 이 중에서 10.13보다 큰 수는 모두 몇 개 입니까?	len ( [ val for val in [ 23.27, 29.64, 55.39, 41.09, 35.06, 1.22, 34.07, 92.6 ] if val > 10.13 ] ) 
114	114	1310	어떤 수에서 282을 나누었더니 908가 되었습니다. 어떤 수에서 876를 빼면 얼마가 되는지 구하시오.	908 * 282 - 876
115	115	1215	어떤 수에서 447을 빼더니 284가 되었습니다. 어떤 수에서 94를 곱하면 얼마가 되는지 구하시오.	284 + 447 * 94
116	116	4017	75명의 학생들이 한 줄로 줄을 섰습니다. 남진의 앞에 35명의 학생들이 서 있습니다. 남진의 뒤에 서 있는 학생은 몇 명입니까?	75 - ( 35 + 1 )
117	117	3389	2 개의 수 8, 10 로 나누어 떨어질 수 있는 두 자리 수는 모두 몇 개 있습니까?	len ( [ arr for arr in range(10, 100) if arr % 8 == 0 and arr % 10 == 0 ] )
118	118	107	상자 안에 52개의 공이 있습니다. 은지이가 75개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?	52 + 75
119	119	4069	달리기 시합에서 석진는 47 등을 했고, 유정는 49 등을 했습니다. 지민는 유정보다 잘했지만 석진보다는 못했습니다. 지민의 등수는 몇 등입니까?	 ( 47 + 49 ) / 2
120	120	2048	9개의 수 60.92, 24.17, 27.12, 89.14, 9.62, 2.03, 95.74, 89.56, 97.62이 있습니다. 이 중에서 78.18보다 작은 수는 모두 몇 개 입니까?	len ( [ val for val in [ 60.92, 24.17, 27.12, 89.14, 9.62, 2.03, 95.74, 89.56, 97.62 ] if val < 78.18 ] ) 
121	121	1256	어떤 수에서 957을 빼더니 216가 되었습니다. 어떤 수에서 722를 곱하면 얼마가 되는지 구하시오.	216 + 957 * 722
122	122	4599	5개의 숫자 2, 3, 4, 8, 9를 한 번씩만 사용하여 다섯 자리수를 만들려고 합니다. 만들 수 있는 다섯 자리 수는 모두 몇 개입니까?	math.factorial(5)
123	123	3157	(파) 컵에 물을 가득 넣어 (다) 컵에 부었더니 물이 가득 차지 않았습니다. 어느 컵에 물이 더 적게 들어갈까요?	print('(파)')
124	124	693	정국이는 10cm 막대기를 계획보다 3개 더 구매해 44cm가 남았다. 계획대로 구매했다면 몇 cm가 남았을지 구하시오.	44 - 30
125	125	4138	달리기 시합에서 태형는 62 등을 했고, 호석는 64 등을 했습니다. 남진는 호석보다 잘했지만 태형보다는 못했습니다. 남진의 등수는 몇 등입니까?	 ( 62 + 64 ) / 2
126	126	1103	유나는 독후감을 쓰기 위해 563쪽짜리 책을 읽어야 합니다. 유나는 이미 147쪽을 읽었습니다. 남은 책은 몇 쪽입니까?	"X=563-147
print(X)"
127	127	2714	주어진 숫자가 92, 46, 72, 32, 92, 84, 84, 88, 69, 50, 31, 95 일 경우 31 보다 크고 72 보다 작은 수 중 가장 큰 수는 무엇입니까?	max ( sorted ( [ i for i in [ 92, 46, 72, 32, 92, 84, 84, 88, 69, 50, 31, 95 ] if i > 31 and i < 72 ] ) )
128	128	763	7538에서 14로 나눌때 나머지가 없도록 빼야하는 최소의 숫자는?	7538 -math.floor ( 7538 / 14 ) * 14
129	129	2239	한 상자에는 수박이 264개씩 들어있습니다. 82개의 상자 안에 있는 수박은 모두 몇 개일까요?	264 * 82
130	130	512	유나는 그녀의 정원에서 야채를 심었습니다. 그녀는 41개의 씨앗으로 시작하여 큰 정원에서 29개를 심었고 작은 정원에서 각각 4개의 씨앗을 넣습니다. 유나가 작은 정원 몇 개에 씨앗을 심었을까요?	"X=(41-29)/4
print(X)"
131	131	3	상자 안에 42개의 공이 있습니다. 유나이가 16개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?	42 + 16
132	132	167	상자 안에 4개의 공이 있습니다. 윤기이가 14개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?	4 + 14
133	133	3354	2 개의 수 1, 7 로 나누어 떨어질 수 있는 두 자리 수는 모두 몇 개 있습니까?	len ( [ arr for arr in range(10, 100) if arr % 1 == 0 and arr % 7 == 0 ] )
134	134	2374	283 보다 어떤 수만큼 작은 수는 698입니다. 어떤 수보다 872 작은 수는 얼마입니까?	698 - 283 - 872
135	135	4005	80명의 학생들이 한 줄로 줄을 섰습니다. 호석의 앞에 31명의 학생들이 서 있습니다. 호석의 뒤에 서 있는 학생은 몇 명입니까?	80 - ( 31 + 1 )
136	136	903	유정이는 자두가 있었습니다. 유정이는 은지에게 12개의 자두를 주었습니다. 이제 유정이는 54개의 자두를 가지고 있습니다. 처음에 유정이가 가지고 있던 자두는 몇 개입니까?	"X=54-12
print(X)"
137	137	2131	한 상자에는 감이 244개씩 들어있습니다. 39개의 상자 안에 있는 감은 모두 몇 개일까요?	244 * 39
138	138	218	호석이와 그의 친구는 마술 숍에서 각각 8원의 마술 카드를 사고 있었습니다. 호석이가 6개의 마술 카드를 샀고 그의 친구가 2개의 마술 카드를 샀다면 얼마나 많은 지출했습니까?	"X=8*(6+2)
print(X)"
139	139	1313	어떤 수에서 346을 나누었더니 584가 되었습니다. 어떤 수에서 946를 빼면 얼마가 되는지 구하시오.	584 * 346 - 946
140	140	4597	5개의 숫자 1, 2, 3, 4, 7를 한 번씩만 사용하여 다섯 자리수를 만들려고 합니다. 만들 수 있는 다섯 자리 수는 모두 몇 개입니까?	math.factorial(5)
141	141	1563	66에 어떤 수를 더해야 할 것을 잘못하여 875에 어떤 수를 곱했더니 49875이 되었습니다. 바르게 계산하면 얼마인지 구하시오.	66 + ( 49875 / 875 ) 
142	142	793	윤기는 9개의 병뚜껑이 있습니다. 호석이는 10개의 병뚜껑이 있습니다. 호석이는 또 다른 5개의 병뚜껑을 찾습니다. 호석이는 얼마나 많은 병뚜껑이 있습니까?	"X=10+5
print(X)"
143	143	4447	키가 작은 사람부터 순서대로 65명이 한 줄로 서 있습니다. 윤기가 앞에서부터 62번째에 서 있습니다. 키가 큰 사람부터 순서대로 다시 줄을 서면 윤기는 앞에서부터 몇 번째에 서게 됩니까?	65 - 62 + 1
144	144	84	다섯 명의 학생 중에서 석진이는 앞에서 둘째로 달리고 있습니다. 석진이의 뒤에 달리고 있는 학생은 몇명입니까?	(5-2)
145	145	1757	정국이는 2와 9를 모았습니다. 민영이는 4과 9을 모았습니다. 누가 모은 수가 더 큽니까?	'정국' if 2+9 > 4+9 else '민영'
146	146	3675	윤기 , 호석 , 지민의 수학 점수는 각각 90점, 83점, 29점입니다. 이 셋을 제외한 학급의 수학 점수 평균은 98점입니다. 윤기네 학급 인원수가 50명일 때, 학급 수학 평균 점수는 몇 점입니까	( ( 50 - 3 ) * 98 + 90 + 83 + 29 ) / 50
148	148	537	두 후보 사이의 선거에서 첫 번째 후보는 60%의 표를 얻었고 두 번째 후보는 240 표를 얻었습니다. 총 투표 수는 얼마입니까?	240 * 100 / ( 100 - 60 ) 
