id,question,equation,answer,source
61,상자 안에 88개의 공이 있습니다. 민영이가 45개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,88 + 45,133,boostaugment
62,상자 안에 47개의 공이 있습니다. 석진이가 14개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,47 + 14,61,boostaugment
63,상자 안에 44개의 공이 있습니다. 남진이가 82개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,44 + 82,126,boostaugment
64,상자 안에 54개의 공이 있습니다. 유정이가 7개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,54 + 7,61,boostaugment
65,상자 안에 77개의 공이 있습니다. 태형이가 84개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,77 + 84,161,boostaugment
66,상자 안에 82개의 공이 있습니다. 유나이가 15개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,82 + 15,97,boostaugment
67,상자 안에 70개의 공이 있습니다. 윤기이가 62개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,70 + 62,132,boostaugment
68,상자 안에 20개의 공이 있습니다. 정국이가 53개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,20 + 53,73,boostaugment
69,상자 안에 23개의 공이 있습니다. 석진이가 86개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,23 + 86,109,boostaugment
70,상자 안에 26개의 공이 있습니다. 석진이가 62개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,26 + 62,88,boostaugment
71,상자 안에 27개의 공이 있습니다. 유정이가 29개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,27 + 29,56,boostaugment
72,상자 안에 70개의 공이 있습니다. 석진이가 24개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,70 + 24,94,boostaugment
73,상자 안에 40개의 공이 있습니다. 석진이가 78개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,40 + 78,118,boostaugment
74,상자 안에 73개의 공이 있습니다. 태형이가 86개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,73 + 86,159,boostaugment
75,상자 안에 94개의 공이 있습니다. 은지이가 52개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,94 + 52,146,boostaugment
76,상자 안에 38개의 공이 있습니다. 은지이가 17개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,38 + 17,55,boostaugment
77,상자 안에 53개의 공이 있습니다. 남진이가 100개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,53 + 100,153,boostaugment
78,상자 안에 27개의 공이 있습니다. 유나이가 55개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,27 + 55,82,boostaugment
79,상자 안에 41개의 공이 있습니다. 정국이가 6개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,41 + 6,47,boostaugment
80,상자 안에 96개의 공이 있습니다. 유정이가 70개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,96 + 70,166,boostaugment
81,상자 안에 18개의 공이 있습니다. 윤기이가 27개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,18 + 27,45,boostaugment
82,상자 안에 72개의 공이 있습니다. 정국이가 75개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,72 + 75,147,boostaugment
83,상자 안에 81개의 공이 있습니다. 남진이가 93개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,81 + 93,174,boostaugment
84,상자 안에 18개의 공이 있습니다. 민영이가 74개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,18 + 74,92,boostaugment
85,상자 안에 1개의 공이 있습니다. 호석이가 32개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,1 + 32,33,boostaugment
86,상자 안에 2개의 공이 있습니다. 민영이가 79개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,2 + 79,81,boostaugment
87,상자 안에 64개의 공이 있습니다. 민영이가 65개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,64 + 65,129,boostaugment
88,상자 안에 83개의 공이 있습니다. 호석이가 80개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,83 + 80,163,boostaugment
89,상자 안에 31개의 공이 있습니다. 남진이가 4개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,31 + 4,35,boostaugment
90,상자 안에 16개의 공이 있습니다. 태형이가 81개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,16 + 81,97,boostaugment
91,상자 안에 88개의 공이 있습니다. 석진이가 72개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,88 + 72,160,boostaugment
92,상자 안에 18개의 공이 있습니다. 태형이가 26개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,18 + 26,44,boostaugment
93,상자 안에 96개의 공이 있습니다. 은지이가 77개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,96 + 77,173,boostaugment
94,상자 안에 32개의 공이 있습니다. 유나이가 55개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,32 + 55,87,boostaugment
95,상자 안에 70개의 공이 있습니다. 석진이가 45개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,70 + 45,115,boostaugment
96,상자 안에 5개의 공이 있습니다. 호석이가 25개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,5 + 25,30,boostaugment
97,상자 안에 39개의 공이 있습니다. 호석이가 46개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,39 + 46,85,boostaugment
98,상자 안에 68개의 공이 있습니다. 은지이가 17개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,68 + 17,85,boostaugment
99,상자 안에 40개의 공이 있습니다. 민영이가 16개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,40 + 16,56,boostaugment
100,상자 안에 10개의 공이 있습니다. 지민이가 35개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,10 + 35,45,boostaugment
101,상자 안에 21개의 공이 있습니다. 남진이가 48개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,21 + 48,69,boostaugment
102,상자 안에 77개의 공이 있습니다. 민영이가 50개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,77 + 50,127,boostaugment
103,상자 안에 25개의 공이 있습니다. 태형이가 73개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,25 + 73,98,boostaugment
104,상자 안에 25개의 공이 있습니다. 윤기이가 56개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,25 + 56,81,boostaugment
105,상자 안에 1개의 공이 있습니다. 남진이가 7개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,1 + 7,8,boostaugment
106,상자 안에 58개의 공이 있습니다. 지민이가 83개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,58 + 83,141,boostaugment
107,상자 안에 52개의 공이 있습니다. 은지이가 75개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,52 + 75,127,boostaugment
108,상자 안에 5개의 공이 있습니다. 지민이가 42개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,5 + 42,47,boostaugment
109,상자 안에 46개의 공이 있습니다. 남진이가 81개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,46 + 81,127,boostaugment
110,상자 안에 72개의 공이 있습니다. 윤기이가 82개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,72 + 82,154,boostaugment
111,상자 안에 44개의 공이 있습니다. 유정이가 47개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,44 + 47,91,boostaugment
112,상자 안에 13개의 공이 있습니다. 유정이가 82개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,13 + 82,95,boostaugment
113,상자 안에 92개의 공이 있습니다. 남진이가 36개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,92 + 36,128,boostaugment
114,상자 안에 44개의 공이 있습니다. 태형이가 49개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,44 + 49,93,boostaugment
115,상자 안에 48개의 공이 있습니다. 민영이가 9개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,48 + 9,57,boostaugment
116,상자 안에 33개의 공이 있습니다. 민영이가 81개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,33 + 81,114,boostaugment
117,상자 안에 42개의 공이 있습니다. 지민이가 16개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,42 + 16,58,boostaugment
118,상자 안에 21개의 공이 있습니다. 지민이가 89개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,21 + 89,110,boostaugment
119,상자 안에 35개의 공이 있습니다. 정국이가 72개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,35 + 72,107,boostaugment
120,상자 안에 96개의 공이 있습니다. 지민이가 64개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,96 + 64,160,boostaugment
121,상자 안에 5개의 공이 있습니다. 민영이가 31개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,5 + 31,36,boostaugment
122,상자 안에 20개의 공이 있습니다. 태형이가 57개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,20 + 57,77,boostaugment
123,상자 안에 13개의 공이 있습니다. 유정이가 88개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,13 + 88,101,boostaugment
124,상자 안에 98개의 공이 있습니다. 호석이가 6개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,98 + 6,104,boostaugment
125,상자 안에 47개의 공이 있습니다. 태형이가 55개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,47 + 55,102,boostaugment
126,상자 안에 99개의 공이 있습니다. 정국이가 62개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,99 + 62,161,boostaugment
127,상자 안에 100개의 공이 있습니다. 남진이가 8개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,100 + 8,108,boostaugment
128,상자 안에 28개의 공이 있습니다. 정국이가 68개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,28 + 68,96,boostaugment
129,상자 안에 66개의 공이 있습니다. 유나이가 63개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,66 + 63,129,boostaugment
130,상자 안에 16개의 공이 있습니다. 태형이가 56개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,16 + 56,72,boostaugment
131,상자 안에 79개의 공이 있습니다. 유나이가 56개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,79 + 56,135,boostaugment
132,상자 안에 75개의 공이 있습니다. 정국이가 99개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,75 + 99,174,boostaugment
133,상자 안에 63개의 공이 있습니다. 유정이가 17개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,63 + 17,80,boostaugment
134,상자 안에 69개의 공이 있습니다. 지민이가 74개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,69 + 74,143,boostaugment
135,상자 안에 75개의 공이 있습니다. 남진이가 92개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,75 + 92,167,boostaugment
136,상자 안에 90개의 공이 있습니다. 민영이가 34개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,90 + 34,124,boostaugment
137,상자 안에 44개의 공이 있습니다. 태형이가 9개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,44 + 9,53,boostaugment
138,상자 안에 93개의 공이 있습니다. 석진이가 84개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,93 + 84,177,boostaugment
139,상자 안에 55개의 공이 있습니다. 지민이가 20개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,55 + 20,75,boostaugment
140,상자 안에 55개의 공이 있습니다. 남진이가 40개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,55 + 40,95,boostaugment
141,상자 안에 30개의 공이 있습니다. 남진이가 93개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,30 + 93,123,boostaugment
142,상자 안에 91개의 공이 있습니다. 정국이가 97개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,91 + 97,188,boostaugment
143,상자 안에 62개의 공이 있습니다. 은지이가 81개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,62 + 81,143,boostaugment
144,상자 안에 53개의 공이 있습니다. 지민이가 86개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,53 + 86,139,boostaugment
145,상자 안에 99개의 공이 있습니다. 석진이가 43개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,99 + 43,142,boostaugment
146,상자 안에 45개의 공이 있습니다. 유나이가 30개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,45 + 30,75,boostaugment
147,상자 안에 22개의 공이 있습니다. 유나이가 68개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,22 + 68,90,boostaugment
148,상자 안에 92개의 공이 있습니다. 윤기이가 86개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,92 + 86,178,boostaugment
149,상자 안에 35개의 공이 있습니다. 석진이가 29개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,35 + 29,64,boostaugment
150,상자 안에 62개의 공이 있습니다. 윤기이가 92개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,62 + 92,154,boostaugment
151,상자 안에 96개의 공이 있습니다. 윤기이가 2개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,96 + 2,98,boostaugment
152,상자 안에 11개의 공이 있습니다. 유나이가 21개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,11 + 21,32,boostaugment
153,상자 안에 91개의 공이 있습니다. 은지이가 85개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,91 + 85,176,boostaugment
154,상자 안에 11개의 공이 있습니다. 은지이가 76개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,11 + 76,87,boostaugment
155,상자 안에 41개의 공이 있습니다. 은지이가 22개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,41 + 22,63,boostaugment
156,상자 안에 67개의 공이 있습니다. 태형이가 31개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,67 + 31,98,boostaugment
157,상자 안에 27개의 공이 있습니다. 태형이가 52개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,27 + 52,79,boostaugment
158,상자 안에 93개의 공이 있습니다. 민영이가 10개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,93 + 10,103,boostaugment
159,상자 안에 21개의 공이 있습니다. 민영이가 75개의 공을 상자 안에 더 넣었습니다. 상자 안에 있는 공은 모두 몇 개입니까?,21 + 75,96,boostaugment
