	question	equation
31	주스과 달팽이이 모두 합해서 20개 있습니다. 주스이 달팽이보다 8개 더 많다면 주스은 몇 개 있습니까?	(20 + 8) / 2
32	수박과 사과이 모두 합해서 10개 있습니다. 수박이 사과보다 21개 더 많다면 수박은 몇 개 있습니까?	(10 + 21) / 2
33	우유과 닭이 모두 합해서 24개 있습니다. 우유이 닭보다 30개 더 많다면 우유은 몇 개 있습니까?	(24 + 30) / 2
34	농구공과 배이 모두 합해서 5개 있습니다. 농구공이 배보다 29개 더 많다면 농구공은 몇 개 있습니까?	(5 + 29) / 2
35	색종이과 귤이 모두 합해서 1개 있습니다. 색종이이 귤보다 18개 더 적다면 귤은 몇 개 있습니까?	(1 + 18) / 2
36	라면과 주스이 모두 합해서 5개 있습니다. 라면이 주스보다 3개 더 적다면 주스은 몇 개 있습니까?	(5 + 3) / 2
37	당근과 감이 모두 합해서 15개 있습니다. 당근이 감보다 24개 더 적다면 감은 몇 개 있습니까?	(15 + 24) / 2
38	탁구공과 공책이 모두 합해서 2개 있습니다. 탁구공이 공책보다 11개 더 적다면 공책은 몇 개 있습니까?	(2 + 11) / 2
39	우유과 오이이 모두 합해서 21개 있습니다. 우유이 오이보다 16개 더 적다면 오이은 몇 개 있습니까?	(21 + 16) / 2
40	장미를 19명에게 똑같이 나누어 주어야 할 것을 잘못하여 3명에게 똑같이 나누어 주었더니 한 사람당 8장씩 주고 7장이 남았습니다. 이 색종이를 14명에게 똑같이 나누어 주면 한 사람당 최대한 몇 장씩 가지게 됩니까?	(3 * 8 + 7) / 19
41	고래를 17명에게 똑같이 나누어 주어야 할 것을 잘못하여 18명에게 똑같이 나누어 주었더니 한 사람당 10장씩 주고 8장이 남았습니다. 이 색종이를 5명에게 똑같이 나누어 주면 한 사람당 최대한 몇 장씩 가지게 됩니까?	(18 * 10 + 8) / 17
42	나무토막를 16명에게 똑같이 나누어 주어야 할 것을 잘못하여 10명에게 똑같이 나누어 주었더니 한 사람당 15장씩 주고 7장이 남았습니다. 이 색종이를 20명에게 똑같이 나누어 주면 한 사람당 최대한 몇 장씩 가지게 됩니까?	(10 * 15 + 7) / 16
43	장난감를 16명에게 똑같이 나누어 주어야 할 것을 잘못하여 1명에게 똑같이 나누어 주었더니 한 사람당 10장씩 주고 20장이 남았습니다. 이 색종이를 14명에게 똑같이 나누어 주면 한 사람당 최대한 몇 장씩 가지게 됩니까?	(1 * 10 + 20) / 16
44	병아리를 6명에게 똑같이 나누어 주어야 할 것을 잘못하여 16명에게 똑같이 나누어 주었더니 한 사람당 12장씩 주고 17장이 남았습니다. 이 색종이를 4명에게 똑같이 나누어 주면 한 사람당 최대한 몇 장씩 가지게 됩니까?	(16 * 12 + 17) / 6
45	조카네 반 전체 학생 수는 15명입니다. 그중에서 남학생은 전체의 9/11입니다. 남학생 중에서 안경을 낀 학생은 남학생 전체의 2/11입니다. 조카네 반에서 안경을 끼지 않은 남학생은 몇 명입니까?	15 * 9/11 - 15 * 9/11 * 2/11
46	조카네 반 전체 학생 수는 36명입니다. 그중에서 남학생은 전체의 2/10입니다. 남학생 중에서 안경을 낀 학생은 남학생 전체의 7/2입니다. 조카네 반에서 안경을 끼지 않은 남학생은 몇 명입니까?	36 * 2/10 - 36 * 2/10 * 7/2
47	정국네 반 전체 학생 수는 23명입니다. 그중에서 남학생은 전체의 2/1입니다. 남학생 중에서 안경을 낀 학생은 남학생 전체의 6/4입니다. 정국네 반에서 안경을 끼지 않은 남학생은 몇 명입니까?	23 * 2/1 - 23 * 2/1 * 6/4
48	언니네 반 전체 학생 수는 6명입니다. 그중에서 남학생은 전체의 4/7입니다. 남학생 중에서 안경을 낀 학생은 남학생 전체의 6/2입니다. 언니네 반에서 안경을 끼지 않은 남학생은 몇 명입니까?	6 * 4/7 - 6 * 4/7 * 6/2
49	형네 반 전체 학생 수는 22명입니다. 그중에서 남학생은 전체의 3/6입니다. 남학생 중에서 안경을 낀 학생은 남학생 전체의 7/8입니다. 형네 반에서 안경을 끼지 않은 남학생은 몇 명입니까?	22 * 3/6 - 22 * 3/6 * 7/8
50	학교에서 장미, 농구공, 탁구공, 우유, 색종이의 순서로 시험을 봤습니다. 5번째로 시험을 본 과목은 무엇입니까?	"l = ['장미', '농구공', '탁구공', '우유', '색종이']
print(l[5 - 1]"
51	학교에서 장미, 도화지, 개구리, 배, 바둑돌의 순서로 시험을 봤습니다. 3번째로 시험을 본 과목은 무엇입니까?	"l = ['장미', '도화지', '개구리', '배', '바둑돌']
print(l[3 - 1]"
52	학교에서 김밥, 비둘기, 우유, 장미, 도화지의 순서로 시험을 봤습니다. 1번째로 시험을 본 과목은 무엇입니까?	"l = ['김밥', '비둘기', '우유', '장미', '도화지']
print(l[1 - 1]"
53	학교에서 개구리, 토마토, 주스, 수박, 포도의 순서로 시험을 봤습니다. 5번째로 시험을 본 과목은 무엇입니까?	"l = ['개구리', '토마토', '주스', '수박', '포도']
print(l[5 - 1]"
54	학교에서 개구리, 라면, 공책, 토마토, 오이의 순서로 시험을 봤습니다. 5번째로 시험을 본 과목은 무엇입니까?	"l = ['개구리', '라면', '공책', '토마토', '오이']
print(l[5 - 1]"
55	학교에서 음료수, 물고기, 무, 지우개, 배추, 개구리, 국화의 순서로 시험을 봤습니다. 1번째로 시험을 본 과목은 무엇입니까?	"l = ['음료수', '물고기', '무', '지우개', '배추, 개구리, 국화']
print(l[1 - 1]"
56	학교에서 야구공, 나무토막, 지우개, 배, 탁구공, 사과, 장난감의 순서로 시험을 봤습니다. 6번째로 시험을 본 과목은 무엇입니까?	"l = ['야구공', '나무토막', '지우개', '배', '탁구공, 사과, 장난감']
print(l[6 - 1]"
57	학교에서 탁구공, 나무토막, 배, 닭, 라면, 튤립, 배추의 순서로 시험을 봤습니다. 5번째로 시험을 본 과목은 무엇입니까?	"l = ['탁구공', '나무토막', '배', '닭', '라면, 튤립, 배추']
print(l[5 - 1]"
58	학교에서 강아지, 튤립, 탁구공, 나무토막, 음료수, 사과, 구슬의 순서로 시험을 봤습니다. 3번째로 시험을 본 과목은 무엇입니까?	"l = ['강아지', '튤립', '탁구공', '나무토막', '음료수, 사과, 구슬']
print(l[3 - 1]"
59	학교에서 닭, 당근, 국화, 김밥, 테이프, 탁구공, 달팽이의 순서로 시험을 봤습니다. 1번째로 시험을 본 과목은 무엇입니까?	"l = ['닭', '당근', '국화', '김밥', '테이프, 탁구공, 달팽이']
print(l[1 - 1]"
60	학교에서 감, 탁구공, 비둘기, 강아지, 농구공의 순서로 시험을 봤습니다. 뒤에서 4번째로 시험을 본 과목은 무엇입니까?	"l = ['감', '탁구공', '비둘기', '강아지', '농구공']
print(l[len(l) - 4]"
61	학교에서 닭, 색종이, 나무토막, 공책, 귤의 순서로 시험을 봤습니다. 뒤에서 3번째로 시험을 본 과목은 무엇입니까?	"l = ['닭', '색종이', '나무토막', '공책', '귤']
print(l[len(l) - 3]"
62	학교에서 토마토, 무, 카네이션, 튤립, 구슬의 순서로 시험을 봤습니다. 뒤에서 5번째로 시험을 본 과목은 무엇입니까?	"l = ['토마토', '무', '카네이션', '튤립', '구슬']
print(l[len(l) - 5]"
63	학교에서 토마토, 탁구공, 농구공, 물고기, 김밥의 순서로 시험을 봤습니다. 뒤에서 4번째로 시험을 본 과목은 무엇입니까?	"l = ['토마토', '탁구공', '농구공', '물고기', '김밥']
print(l[len(l) - 4]"
64	학교에서 사과, 김밥, 배추, 빵, 고래의 순서로 시험을 봤습니다. 뒤에서 2번째로 시험을 본 과목은 무엇입니까?	"l = ['사과', '김밥', '배추', '빵', '고래']
print(l[len(l) - 2]"
65	달리기 시합에서 어머니이는 6등을 했고, 태형이는 5등을 했습니다. 아버지이는 태형이보다 못했지만 어머니이보다는 잘했습니다. 아버지이는 몇 등입니까?	5 + 1
66	달리기 시합에서 손녀이는 3등을 했고, 할머니이는 2등을 했습니다. 어머니이는 할머니이보다 못했지만 손녀이보다는 잘했습니다. 어머니이는 몇 등입니까?	2 + 1
67	달리기 시합에서 민영이는 5등을 했고, 유나이는 2등을 했습니다. 동생이는 유나이보다 못했지만 민영이보다는 잘했습니다. 동생이는 몇 등입니까?	2 + 1
68	달리기 시합에서 어머니이는 8등을 했고, 석진이는 4등을 했습니다. 할머니이는 석진이보다 못했지만 어머니이보다는 잘했습니다. 할머니이는 몇 등입니까?	4 + 1
69	달리기 시합에서 할머니이는 5등을 했고, 윤기이는 9등을 했습니다. 남준이는 윤기이보다 못했지만 할머니이보다는 잘했습니다. 남준이는 몇 등입니까?	9 + 1
70	달리기 시합에서 정국이는 10등을 했고, 남준이는 3등을 했습니다. 형이는 남준이보다 잘했지만 정국이보다는 못했습니다. 형이는 몇 등입니까?	10 + 1
71	달리기 시합에서 지민이는 8등을 했고, 유나이는 10등을 했습니다. 조카이는 유나이보다 잘했지만 지민이보다는 못했습니다. 조카이는 몇 등입니까?	8 + 1
72	달리기 시합에서 조카이는 3등을 했고, 삼촌이는 7등을 했습니다. 손자이는 삼촌이보다 잘했지만 조카이보다는 못했습니다. 손자이는 몇 등입니까?	3 + 1
73	달리기 시합에서 손자이는 2등을 했고, 어머니이는 7등을 했습니다. 누나이는 어머니이보다 잘했지만 손자이보다는 못했습니다. 누나이는 몇 등입니까?	2 + 1
74	달리기 시합에서 지민이는 4등을 했고, 석진이는 1등을 했습니다. 누나이는 석진이보다 잘했지만 지민이보다는 못했습니다. 누나이는 몇 등입니까?	4 + 1
75	달리기 시합에서 할머니이는 9등을 했고, 오빠이는 7등을 했습니다. 언니이는 할머니이보다 잘했지만 오빠이보다는 못했습니다. 언니이는 몇 등입니까?	7 + 1
76	달리기 시합에서 윤기이는 10등을 했고, 삼촌이는 1등을 했습니다. 형이는 윤기이보다 잘했지만 삼촌이보다는 못했습니다. 형이는 몇 등입니까?	1 + 1
77	달리기 시합에서 삼촌이는 2등을 했고, 정국이는 6등을 했습니다. 석진이는 삼촌이보다 잘했지만 정국이보다는 못했습니다. 석진이는 몇 등입니까?	6 + 1
78	달리기 시합에서 은지이는 4등을 했고, 태형이는 6등을 했습니다. 이모이는 은지이보다 잘했지만 태형이보다는 못했습니다. 이모이는 몇 등입니까?	6 + 1
79	달리기 시합에서 손자이는 1등을 했고, 정국이는 7등을 했습니다. 누나이는 손자이보다 잘했지만 정국이보다는 못했습니다. 누나이는 몇 등입니까?	7 + 1
80	학생들이 한 줄로 서 있습니다. 손녀이는 맨 뒤에 서 있습니다. 손녀이는 앞 에서 2번째에 서 있습니다. 태형이와 손녀이 사이에 1명이 서 있을 때, 줄을 서 있는 학생은 모두 몇 명입니까?	2 + 1 + 1
81	학생들이 한 줄로 서 있습니다. 태형이는 맨 뒤에 서 있습니다. 태형이는 앞 에서 2번째에 서 있습니다. 오빠이와 태형이 사이에 3명이 서 있을 때, 줄을 서 있는 학생은 모두 몇 명입니까?	2 + 3 + 1
82	학생들이 한 줄로 서 있습니다. 손자이는 맨 뒤에 서 있습니다. 손자이는 앞 에서 2번째에 서 있습니다. 태형이와 손자이 사이에 10명이 서 있을 때, 줄을 서 있는 학생은 모두 몇 명입니까?	2 + 10 + 1
83	학생들이 한 줄로 서 있습니다. 손녀이는 맨 뒤에 서 있습니다. 손녀이는 앞 에서 5번째에 서 있습니다. 태형이와 손녀이 사이에 1명이 서 있을 때, 줄을 서 있는 학생은 모두 몇 명입니까?	5 + 1 + 1
84	학생들이 한 줄로 서 있습니다. 은지이는 맨 뒤에 서 있습니다. 은지이는 앞 에서 1번째에 서 있습니다. 호석이와 은지이 사이에 9명이 서 있을 때, 줄을 서 있는 학생은 모두 몇 명입니까?	1 + 9 + 1
85	학생들이 한 줄로 서 있습니다. 어머니이는 맨 앞에 서 있습니다. 어머니이는 뒤 에서 3번째에 서 있습니다. 동생이와 어머니이 사이에 5명이 서 있을 때, 줄을 서 있는 학생은 모두 몇 명입니까?	3 + 5 + 1
86	학생들이 한 줄로 서 있습니다. 유나이는 맨 앞에 서 있습니다. 유나이는 뒤 에서 9번째에 서 있습니다. 유정이와 유나이 사이에 1명이 서 있을 때, 줄을 서 있는 학생은 모두 몇 명입니까?	9 + 1 + 1
87	학생들이 한 줄로 서 있습니다. 삼촌이는 맨 앞에 서 있습니다. 삼촌이는 뒤 에서 4번째에 서 있습니다. 민영이와 삼촌이 사이에 8명이 서 있을 때, 줄을 서 있는 학생은 모두 몇 명입니까?	4 + 8 + 1
88	학생들이 한 줄로 서 있습니다. 어머니이는 맨 앞에 서 있습니다. 어머니이는 뒤 에서 2번째에 서 있습니다. 지민이와 어머니이 사이에 10명이 서 있을 때, 줄을 서 있는 학생은 모두 몇 명입니까?	2 + 10 + 1
89	학생들이 한 줄로 서 있습니다. 동생이는 맨 앞에 서 있습니다. 동생이는 뒤 에서 5번째에 서 있습니다. 지민이와 동생이 사이에 9명이 서 있을 때, 줄을 서 있는 학생은 모두 몇 명입니까?	5 + 9 + 1
90	민영는 왼쪽에서 4번째 열, 오른쪽에서 5번째 열, 앞에서 9번째 줄, 뒤에서 3번째 줄에 서서 체조를 하고 있습니다. 각 줄마다 서 있는 학생의 수가 같다고 할 때, 체조를 하고 있는 학생은 모두 몇 명입니까?	(4 + 5 - 1) * (9 + 3 - 1)
91	형는 왼쪽에서 9번째 열, 오른쪽에서 1번째 열, 앞에서 7번째 줄, 뒤에서 8번째 줄에 서서 체조를 하고 있습니다. 각 줄마다 서 있는 학생의 수가 같다고 할 때, 체조를 하고 있는 학생은 모두 몇 명입니까?	(9 + 1 - 1) * (7 + 8 - 1)
92	조카는 왼쪽에서 9번째 열, 오른쪽에서 1번째 열, 앞에서 3번째 줄, 뒤에서 5번째 줄에 서서 체조를 하고 있습니다. 각 줄마다 서 있는 학생의 수가 같다고 할 때, 체조를 하고 있는 학생은 모두 몇 명입니까?	(9 + 1 - 1) * (3 + 5 - 1)
93	지민는 왼쪽에서 5번째 열, 오른쪽에서 1번째 열, 앞에서 6번째 줄, 뒤에서 2번째 줄에 서서 체조를 하고 있습니다. 각 줄마다 서 있는 학생의 수가 같다고 할 때, 체조를 하고 있는 학생은 모두 몇 명입니까?	(5 + 1 - 1) * (6 + 2 - 1)
94	삼촌는 왼쪽에서 5번째 열, 오른쪽에서 9번째 열, 앞에서 4번째 줄, 뒤에서 10번째 줄에 서서 체조를 하고 있습니다. 각 줄마다 서 있는 학생의 수가 같다고 할 때, 체조를 하고 있는 학생은 모두 몇 명입니까?	(5 + 9 - 1) * (4 + 10 - 1)
95	언니는 오른쪽에서 3번째 열, 왼쪽에서 10번째 열, 뒤에서 8번째 줄, 앞에서 5번째 줄에 서서 체조를 하고 있습니다. 각 줄마다 서 있는 학생의 수가 같다고 할 때, 체조를 하고 있는 학생은 모두 몇 명입니까?	(3 + 10 - 1) * (8 + 5 - 1)
96	할머니는 오른쪽에서 9번째 열, 왼쪽에서 7번째 열, 뒤에서 6번째 줄, 앞에서 1번째 줄에 서서 체조를 하고 있습니다. 각 줄마다 서 있는 학생의 수가 같다고 할 때, 체조를 하고 있는 학생은 모두 몇 명입니까?	(9 + 7 - 1) * (6 + 1 - 1)
97	손녀는 오른쪽에서 7번째 열, 왼쪽에서 5번째 열, 뒤에서 3번째 줄, 앞에서 2번째 줄에 서서 체조를 하고 있습니다. 각 줄마다 서 있는 학생의 수가 같다고 할 때, 체조를 하고 있는 학생은 모두 몇 명입니까?	(7 + 5 - 1) * (3 + 2 - 1)
98	누나는 오른쪽에서 3번째 열, 왼쪽에서 5번째 열, 뒤에서 9번째 줄, 앞에서 1번째 줄에 서서 체조를 하고 있습니다. 각 줄마다 서 있는 학생의 수가 같다고 할 때, 체조를 하고 있는 학생은 모두 몇 명입니까?	(3 + 5 - 1) * (9 + 1 - 1)
99	석진는 오른쪽에서 9번째 열, 왼쪽에서 7번째 열, 뒤에서 1번째 줄, 앞에서 8번째 줄에 서서 체조를 하고 있습니다. 각 줄마다 서 있는 학생의 수가 같다고 할 때, 체조를 하고 있는 학생은 모두 몇 명입니까?	(9 + 7 - 1) * (1 + 8 - 1)
100	도서관에 똑같은 책장이 4개 있습니다. 각 책장은 1층이고, 각 층마다 꽂혀 있는 책의 수는 같습니다. 영어책은 어느 책장의 한 층의 왼쪽에서 17번째, 오른쪽에서 14번째에 꽂혀 있습니다. 도서관의 책장에 꽂혀 있는 책은 모두 몇 권입니까?	4 * 1 * (17 + 14 - 1)
101	도서관에 똑같은 책장이 3개 있습니다. 각 책장은 1층이고, 각 층마다 꽂혀 있는 책의 수는 같습니다. 영어책은 어느 책장의 한 층의 왼쪽에서 8번째, 오른쪽에서 11번째에 꽂혀 있습니다. 도서관의 책장에 꽂혀 있는 책은 모두 몇 권입니까?	3 * 1 * (8 + 11 - 1)
102	도서관에 똑같은 책장이 13개 있습니다. 각 책장은 3층이고, 각 층마다 꽂혀 있는 책의 수는 같습니다. 영어책은 어느 책장의 한 층의 왼쪽에서 5번째, 오른쪽에서 1번째에 꽂혀 있습니다. 도서관의 책장에 꽂혀 있는 책은 모두 몇 권입니까?	13 * 3 * (5 + 1 - 1)
103	도서관에 똑같은 책장이 19개 있습니다. 각 책장은 8층이고, 각 층마다 꽂혀 있는 책의 수는 같습니다. 영어책은 어느 책장의 한 층의 왼쪽에서 5번째, 오른쪽에서 11번째에 꽂혀 있습니다. 도서관의 책장에 꽂혀 있는 책은 모두 몇 권입니까?	19 * 8 * (5 + 11 - 1)
104	도서관에 똑같은 책장이 20개 있습니다. 각 책장은 16층이고, 각 층마다 꽂혀 있는 책의 수는 같습니다. 영어책은 어느 책장의 한 층의 왼쪽에서 10번째, 오른쪽에서 2번째에 꽂혀 있습니다. 도서관의 책장에 꽂혀 있는 책은 모두 몇 권입니까?	20 * 16 * (10 + 2 - 1)
105	도서관에 똑같은 책장이 9개 있습니다. 각 책장은 2층이고, 각 층마다 꽂혀 있는 책의 수는 같습니다. 영어책은 어느 책장의 한 층의 오른쪽에서 18번째, 왼쪽에서 5번째에 꽂혀 있습니다. 도서관의 책장에 꽂혀 있는 책은 모두 몇 권입니까?	9 * 2 * (18 + 5 - 1)
106	도서관에 똑같은 책장이 19개 있습니다. 각 책장은 3층이고, 각 층마다 꽂혀 있는 책의 수는 같습니다. 영어책은 어느 책장의 한 층의 오른쪽에서 17번째, 왼쪽에서 9번째에 꽂혀 있습니다. 도서관의 책장에 꽂혀 있는 책은 모두 몇 권입니까?	19 * 3 * (17 + 9 - 1)
107	도서관에 똑같은 책장이 8개 있습니다. 각 책장은 17층이고, 각 층마다 꽂혀 있는 책의 수는 같습니다. 영어책은 어느 책장의 한 층의 오른쪽에서 12번째, 왼쪽에서 14번째에 꽂혀 있습니다. 도서관의 책장에 꽂혀 있는 책은 모두 몇 권입니까?	8 * 17 * (12 + 14 - 1)
108	도서관에 똑같은 책장이 1개 있습니다. 각 책장은 18층이고, 각 층마다 꽂혀 있는 책의 수는 같습니다. 영어책은 어느 책장의 한 층의 오른쪽에서 19번째, 왼쪽에서 14번째에 꽂혀 있습니다. 도서관의 책장에 꽂혀 있는 책은 모두 몇 권입니까?	1 * 18 * (19 + 14 - 1)
109	도서관에 똑같은 책장이 13개 있습니다. 각 책장은 17층이고, 각 층마다 꽂혀 있는 책의 수는 같습니다. 영어책은 어느 책장의 한 층의 오른쪽에서 3번째, 왼쪽에서 5번째에 꽂혀 있습니다. 도서관의 책장에 꽂혀 있는 책은 모두 몇 권입니까?	13 * 17 * (3 + 5 - 1)
110	1, 5, 8 중에서 서로 다른 숫자 2개를 뽑아 만들 수 있는 가장 큰 두 자리 수를 구하시오.	l = sorted([1, 5, 8]\nprint(l[-1] * 10 + l[-2])
111	4, 5, 7 중에서 서로 다른 숫자 2개를 뽑아 만들 수 있는 가장 큰 두 자리 수를 구하시오.	l = sorted([4, 5, 7]\nprint(l[-1] * 10 + l[-2])
112	5, 6, 4 중에서 서로 다른 숫자 2개를 뽑아 만들 수 있는 가장 큰 두 자리 수를 구하시오.	l = sorted([5, 6, 4]\nprint(l[-1] * 10 + l[-2])
113	9, 2, 7 중에서 서로 다른 숫자 2개를 뽑아 만들 수 있는 가장 큰 두 자리 수를 구하시오.	l = sorted([9, 2, 7]\nprint(l[-1] * 10 + l[-2])
114	8, 3, 7 중에서 서로 다른 숫자 2개를 뽑아 만들 수 있는 가장 큰 두 자리 수를 구하시오.	l = sorted([8, 3, 7]\nprint(l[-1] * 10 + l[-2])
115	6, 3, 4, 9, 5  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([6, 3, <정수3, 9, 5]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
116	6, 5, 4, 3, 1  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([6, 5, <정수3, 3, 1]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
117	1, 6, 5, 7, 8  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([1, 6, <정수3, 7, 8]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
118	9, 8, 3, 1, 4  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([9, 8, <정수3, 1, 4]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
119	3, 6, 4, 8, 2  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([3, 6, <정수3, 8, 2]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
120	3, 8, 7, 5, 9  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([3, 8, <정수3, 5, 9]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
121	8, 4, 5, 7, 3  중에서 서로 다른 숫자 3개를 뽑아 만들 수 있는 가장 큰 세 자리 수를 구하시오.	l = sorted([8, 4, <정수3, 7, 3]\nprint(l[-1] * 100 + l[-2]) * 10 + l[-3]
